x:image,y:label
./trainingData/image/_185_382.jpg,./trainingData/maskGrey/_185_382.png
./trainingData/image/_167_4697.jpg,./trainingData/maskGrey/_167_4697.png
./trainingData/image/_177_1195.jpg,./trainingData/maskGrey/_177_1195.png
./trainingData/image/_0_3569.jpg,./trainingData/maskGrey/_0_3569.png
./trainingData/image/_125_4187.jpg,./trainingData/maskGrey/_125_4187.png
./trainingData/image/_91_7999.jpg,./trainingData/maskGrey/_91_7999.png
./trainingData/image/_8_2920.jpg,./trainingData/maskGrey/_8_2920.png
./trainingData/image/_83_7120.jpg,./trainingData/maskGrey/_83_7120.png
./trainingData/image/_244_3702.jpg,./trainingData/maskGrey/_244_3702.png
./trainingData/image/_243_2321.jpg,./trainingData/maskGrey/_243_2321.png
./trainingData/image/_221_9989.jpg,./trainingData/maskGrey/_221_9989.png
./trainingData/image/_188_9052.jpg,./trainingData/maskGrey/_188_9052.png
./trainingData/image/_44_735.jpg,./trainingData/maskGrey/_44_735.png
./trainingData/image/_235_9528.jpg,./trainingData/maskGrey/_235_9528.png
./trainingData/image/_164_9032.jpg,./trainingData/maskGrey/_164_9032.png
./trainingData/image/_142_6791.jpg,./trainingData/maskGrey/_142_6791.png
./trainingData/image/_55_6297.jpg,./trainingData/maskGrey/_55_6297.png
./trainingData/image/_105_2638.jpg,./trainingData/maskGrey/_105_2638.png
./trainingData/image/_106_7966.jpg,./trainingData/maskGrey/_106_7966.png
./trainingData/image/_90_4677.jpg,./trainingData/maskGrey/_90_4677.png
./trainingData/image/_228_2709.jpg,./trainingData/maskGrey/_228_2709.png
./trainingData/image/_239_5844.jpg,./trainingData/maskGrey/_239_5844.png
./trainingData/image/_77_8477.jpg,./trainingData/maskGrey/_77_8477.png
./trainingData/image/_62_3200.jpg,./trainingData/maskGrey/_62_3200.png
./trainingData/image/_173_8356.jpg,./trainingData/maskGrey/_173_8356.png
./trainingData/image/_0_7094.jpg,./trainingData/maskGrey/_0_7094.png
./trainingData/image/_68_2554.jpg,./trainingData/maskGrey/_68_2554.png
./trainingData/image/_23_8069.jpg,./trainingData/maskGrey/_23_8069.png
./trainingData/image/_162_6133.jpg,./trainingData/maskGrey/_162_6133.png
./trainingData/image/_231_2761.jpg,./trainingData/maskGrey/_231_2761.png
./trainingData/image/_109_6226.jpg,./trainingData/maskGrey/_109_6226.png
./trainingData/image/_64_677.jpg,./trainingData/maskGrey/_64_677.png
./trainingData/image/_184_5160.jpg,./trainingData/maskGrey/_184_5160.png
./trainingData/image/_129_3941.jpg,./trainingData/maskGrey/_129_3941.png
./trainingData/image/_237_4542.jpg,./trainingData/maskGrey/_237_4542.png
./trainingData/image/_21_4344.jpg,./trainingData/maskGrey/_21_4344.png
./trainingData/image/_248_753.jpg,./trainingData/maskGrey/_248_753.png
./trainingData/image/_6_8814.jpg,./trainingData/maskGrey/_6_8814.png
./trainingData/image/_154_3655.jpg,./trainingData/maskGrey/_154_3655.png
./trainingData/image/_236_4863.jpg,./trainingData/maskGrey/_236_4863.png
./trainingData/image/_25_3791.jpg,./trainingData/maskGrey/_25_3791.png
./trainingData/image/_133_2530.jpg,./trainingData/maskGrey/_133_2530.png
./trainingData/image/_59_9349.jpg,./trainingData/maskGrey/_59_9349.png
./trainingData/image/_240_5231.jpg,./trainingData/maskGrey/_240_5231.png
./trainingData/image/_192_519.jpg,./trainingData/maskGrey/_192_519.png
./trainingData/image/_58_3598.jpg,./trainingData/maskGrey/_58_3598.png
./trainingData/image/_232_4322.jpg,./trainingData/maskGrey/_232_4322.png
./trainingData/image/_108_1511.jpg,./trainingData/maskGrey/_108_1511.png
./trainingData/image/_99_7750.jpg,./trainingData/maskGrey/_99_7750.png
./trainingData/image/_57_9042.jpg,./trainingData/maskGrey/_57_9042.png
./trainingData/image/_162_524.jpg,./trainingData/maskGrey/_162_524.png
./trainingData/image/_37_7164.jpg,./trainingData/maskGrey/_37_7164.png
./trainingData/image/_26_4585.jpg,./trainingData/maskGrey/_26_4585.png
./trainingData/image/_69_1395.jpg,./trainingData/maskGrey/_69_1395.png
./trainingData/image/_175_4769.jpg,./trainingData/maskGrey/_175_4769.png
./trainingData/image/_103_961.jpg,./trainingData/maskGrey/_103_961.png
./trainingData/image/_48_4919.jpg,./trainingData/maskGrey/_48_4919.png
./trainingData/image/_184_1845.jpg,./trainingData/maskGrey/_184_1845.png
./trainingData/image/_32_4234.jpg,./trainingData/maskGrey/_32_4234.png
./trainingData/image/_52_7543.jpg,./trainingData/maskGrey/_52_7543.png
